Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Boiadeiro,Boi bruruna,"O meu boi buruna
Deu uma berro (2x)

Oh vai trabalhar
Arrebentou portão de ferro (2x)",,,Samba Cabula
Boiadeiro,Boiadeira laço de ouro,"Nas estradas dessa vida
Conheci uma mulher
Com o seu chapéu de couro
Tocando boiada com fé.
O seu laço era de ouro.

Presente de Oxumarê
Pra laçar todo quiumba
Que pelo caminho estiver

Lele lala
Seu chicote prateado
Foi presente de Obá
Pra rasgar a escuridão
Que no mundo possa encontrar

Seu nome é Laço de Ouro
Boiadeira do Serrado
Faz feitiço, faz mironga
Desmancha trabalho pesado",,,Samba Cabula
Boiadeiro,Ponto de boiadeira,"Eu vou jogar meu laço
Vou pegar minha boiada (2x)

Eu sou a boiadeira
Minha fé não tem quem laça (2x)

Meu laço eu jogo
É pra boi brabo pegar (2x)

Aqui neste terreiro
Boi brabo vou amansar (2x)",,,Samba Cabula
Boiadeiro,Caboclo gentil,"O salve deus
Salve a pátria
Salve Zambi
Salve todos que estão aqui

O salve deus
Salve a pátria
Salve Zambi
Seu boiadeiro é um caboclo gentil",,,Samba Cabula
Boiadeiro,Lele lala - Boiadeiro,"Sai da minha aldeia sem lelelala
Aprendi no mundo a soletrar
Caboclo me deu o beabá
E a lua me ensinou o que é o amar

Meu cavalo é velho
Venha arriar
Chapéu de ouro

Verde e dourado
Meu pai quem me deu
Não troco por nada
Não troco e nem vendo
Sou apaixonado

Ver tudo quando é novo
Fica cobicado
Quando fica velho
Abandonado

Nos olhos de deus
Tudo é vijiado
Quem ama seu próximo
Será amado",,,Samba Cabula
Boiadeiro,Ela Gira o Laço,"Ela gira o laço.
Ela gira a guia.
Ela está no Terreiro.
Ela se chama Maria

Ela gira o laço.
Oi Moço..
Quando está pra chegar.
Ela gira a guia.
Oi Moço.
Pra demanda tirar.

Mas cuidado seu Moço.
Pra você não se enganar.
No que você pede.
Se for injustiça você vai pagar.

Ela e a Boiadeira.
Maria do Laço.
No Terreiro ela está.

Se sofrer algum mal
Mandinga, mironga.
Ela vai quebrar",,,Samba Cabula
Boiadeiro,Boiadeira,"Quem foi que disse?
Quem disse a colá?
Que a mulher
Não sabe aboiar (2x)

Ela aboia o boi
Ela toca o gado
Ela tem sua corda
Ela tem seu laço
Tem seu lenço vermelho
Tem seu chapéu de couro
Ela é Boiadeira e no sertão
Ela é um tesouro",,,Samba Cabula
Boiadeiro,Descarrego de Caboclos,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,Samba Cabula
Boiadeiro,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,Samba Cabula
Boiadeiro,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,Samba Cabula
Boiadeiro,Subida - Boiadeiro,"Mais um adeus
Aleluia adeus (2x)

Vou pra jurema
Quem vai se embora sou eu (2x)

Eu já vou, já vou
Eu já vou pra lá
Tupã me chama
Já vou me retirar (2x)",,,Samba Cabula
