Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Esquerda,Exu Tranca Rua - Deu meia noite,"Deu meia noite
A lua se escondeu
Lá na encruzilhada
Dando a sua gargalhada
Tranca Rua apareceu (2x)

É laroiê, é laroiê, é laroiê
É mojubá, é mojubá, é mojubá

Dando a sua gargalhada
Quem tem fé em Tranca Rua
É só pedir que ele dá (2x)",Thiago,Exu Tranca Rua,Samba Cabula
Esquerda,Exu Maré - Mareou,"Mareou
Mareou
A terra balançou (2x)

Mas ele ficou de pé
Exu Maré
Exu Maré (2x)

Eu vi Exu gargalhar
Lá na beira do mar
Quem mandou foi Iemanjá
Vem chegando Exu Maré",Eduin,Exu Maré,Samba Cabula
Esquerda,Exu Cobra Venenosa - Na sombra da mata escura,"Na sombra da mata escura
Na sombra da mata escura
Uma alma pra mim gargalhou (2x)

Ele é Odara
Ele girou, girou, girou
Fez feitiço no pé da figueira (2x)

Salve a coroa do Exu do mato
Seu Exu cobra não é brincadeira (2x)

Ah Laroyê
Ê Mojubá

Seu Exu Cobra
É feiticeiro de Umbanda (2x)",Carolina,Exu Cobra Venenosa,Samba Cabula
Esquerda,João Caveira - Exu das almas,"Mas ele mora
Naquela morada
Onde não passa agua
Onde não brilha o sol

Mas ele é João Caveira ehh
Exu das almas da calunga é (2x)",Diego,João Caveira,Samba Cabula
Esquerda,Exu Xoroque,"Exu, Exu Xoroque (2x)

Meu senhor das estradas (Xoroque)
Abra meus caminhos (Xoroque)
Meu senhor da porteira (Xoroque)
Ele é meu pai Exu Xoroque",Lu,Exu Xoroque,Samba Cabula
Esquerda,Foi lá na porteira,"Foi lá na porteira
Que eu deixei meu sentinela (2x)

Eu deixei seu (entidade)
Tomando conta da cancela (2x)",,,Samba Cabula
Esquerda,Santo Antonio de batalha,"Santo Antônio de batalha
Faz de mim batalhador (2x)

Corre gira, Pombo Gira
Tranca Rua e Marabô (2x)",,,Samba Cabula
Esquerda,Ae Ae Calunga,"Ae ae Calunga
Eu vou abrir meu casua (2x)

Eu vou chamar (entidade)
Para macumba começar (2x)",,,Samba Cabula
Esquerda,Na casa de Exu,"Na casa de Exu
Na casa de Exu
Tem macumba todo dia (2x)

Quem tem santo incorpora
Quem não tem se arrepia (2x)",,,Samba Cabula
Esquerda,Calunga Grande - Exu,"Com ele não tem mistério
Com ele não tem mistério
Não tem magia
Não tem segredo.

Ele é o rei da Calunga
Seu nome é, Exu Morcego (2x)",,,Samba Cabula
Esquerda,É na calunga grande,"É na calunga grande
Não tem coveiro não (2x)

A catacumba onde eu moro
É resto de embarcação (2x)

Sou eu, sou eu
Quem ronda no mar, sou eu (2x)",,,Samba Cabula
Esquerda,Leva Exu - Descarrego,"Leva Exu
Leva pra encruzilhada
Tudo o que não for bom
Leva embora desta casa.

Leva Exu
Limpa o corpo do seu filho
Carrega toda a maldade
E traz o bem pros meus caminhos",,,Samba Cabula
Esquerda,Me disseram,"Me disseram que essa casa
Ia cair (2x)

Mas ela é madeira
Que não dá cupim (2x)",,,Samba Cabula
Esquerda,Não mexa com a Calunga,"Olha não mexa
Com o povo da calunga (2x)
A cova pode ser rasa
Mas a terra é profunda (2x)

Não é brincadeira
Pense bem antes de entrar
Tem guardião na porteira.
Sentinela a vigiar.

Não faça aos outros
O que não quer receber.
Pois o mal se torna o dobro
Quando volta pra você

Olha não mexa
Com o povo da calunga (2x)
A cova pode ser rasa
Mas a terra é profunda (2x)

Tome cuidado com aquilo que pedir.
Pois perde a tranquilidade
Quem vive para destruir.
Preste atenção
No caminho que escolher.
Pode não haver retorno
Quando se arrepender",,,Samba Cabula
Esquerda,A sua casa não tem parede,"A sua casa não tem parede
Não tem janela
E não tem nada (2x)

Aonde é, aonde é que Exu mora
Exu mora lá na encruzilhada (2x)",,,Samba Cabula
Esquerda,Balançou a terra chacoalhou,"Balançou, a terra chacoalhou
Balançou, terra chacoalhou (2x)

Mas ele ficou de pé
Treme terra é
Treme terra oh (2x)

Lá na encruza
Ele venceu demanda
Lá nas matas ele caminhou.
Mas foi lá no cemitério
Que Seu Treme Terra
Descarregou (2x)",,,Samba Cabula
Esquerda,Maria Mulambo - Abre a roda,"Oh abre a roda
Deixa a Mulambo trabalhar (2x)

Mas ela tem
Ela tem peito de aço
Ela tem peito de aço
E um coração de sabiá (2x)",Pai Marcos,Maria Mulambo da Lixeira,Samba Cabula
Esquerda,Maria Mulambo - Oh Umbanda,"Oh Umbanda
Maria Mulambo vai chegar (2x)

Ela quer uma rosa
Ela quer uma flor
Ela quer um perfume
Pra trazer o amor (2x)

Maria Mulambo, ela é fiel
É ouro que cai do céu
Maria Mulambo, ela te faz ganhar
Maria Mulambo é moça de se admirar (2x)",Pai Marcos,Maria Mulambo da Lixeira,Samba Cabula
Esquerda,Maria Mulambo - A sua capa,"A sua capa já mandei fazer
Ela foi cruzada no azeite de dendê

Olha a saia dela lele
Olha a saia dela lele
É Mulambo só (2x)

Sua saia tem sete metros
Sete metros é farrapo só (2x)",Pai Marcos,Maria Mulambo da Lixeira,Samba Cabula
Esquerda,Maria Mulambo - Uma rosa linda,"Uma rosa linda
Uma rosa encantada.
Entreguei para a moça mais bela
Que encontrei naquela estrada

Ela toda de negro
Um perfume encantador
Quando lhe entreguei a rosa
Ela logo me falou:

Quando tu tocou na rosa
Eu senti a sua dor
Tu é filho de mulambo
Não nasceu pra ser sofredor

Eu vou te levantar
Do chão eu vou te tirar
E aquele que mexer contigo
Agora vai ter que me pagar

Eu vou te levantar
Do chão eu vou te tirar
E aquele que mexer contigo
Agora vai ter que me pagar

Maria Mulambo
Vem fumar e vem beber
A sua capa já mandei fazer (2x)

Não é capa de Exú
É de Maria Mulambê (2x)",Pai Marcos,Maria Mulambo da Lixeira,Samba Cabula
Esquerda,Maria Quitéria - Pomba gira malvada,"Pomba gira malvada
Vestido negro
Uma navalha afiada
Bela mulher da noite
Faz um jeito de malvada (2x)

Em desespero fui pedir a proteção
Larguei uma rosa
Na tampa do seu caixão (2x)

Quitéria, Quitéria
Gira de noite ou gira de dia (2x)

Não queira sentir a navalha afiada
Maria Quitéria
É pomba gira malvada (2x)",Pai Erick,Maria Quitéria,Samba Cabula
Esquerda,Rosa Vermelha - Pomba gira gire,"Pomba gira gire
Cigana linda
Da Mata escura
Firma seu ponto no clarão da Lua (2x)

Mas ela é Pombagira gire
Mas ela é pombagira girá (2x)",Diego,Rosa Vermelha,Samba Cabula
Esquerda,Rosa Vermelha - O vento soprou,"O vento soprou
O vento soprou
Um perfume de roseira
Que veio do meio da tronqueira

Minha gira de esquerda
Perfuma e perfumou
Todo meu terreiro
Quem sentiu arrepiou

O feitiço é Pomba gira
Rosa Vermelha aqui chegou (2x)

Vem saudar essa moça da tronqueira
Vem saudar essa moça feiticeira
Vem saudar essa moça da roseira
Seu perfume tá no ar
Quem chegou é Rosa Vermelha (2x)",Diego,Rosa Vermelha,Samba Cabula
Esquerda,Dona 7 Catacumbas - Lá vem,"Lá vem, lá vem
Lá vem, lá vem
Uma bruxa feiticeira (2x)

Os seus trabalhos
Tem mironga com dendê
Não mexe com ela
Pra não vir se arrepender (2x)

É dona sete, dona sete catacumbas
Pomba gira poderosa
Da falange dos caveiras
Ela não é de brincadeira
Sua morada é na calunga
Seu feitiço tem axé","Claudia, Natalia",Dona 7 Catacumbas,Samba Cabula
Esquerda,Maria Padilha das Almas - Quem viu o sol,"Quem viu o sol
Quem viu o sol se esconder
Quem viu a lua brilhar
Quem viu o espinho da rosa
Também vai ver
Maria Padilha chegar (2x)

Os seus olhos são verdes
Sua cor é mulata
Seus cabelos são negros
E a sandalia é de prata
Numa mão tem perfume
Na outra tem a flor
Para a Umbanda querida
Maria Padilha traz páz e amor",Claudia,Maria Padilha das Almas,Samba Cabula
Esquerda,Maria Padilha das Almas - Padilha na mesa de um bar,"Padilha na mesa de um bar
Pra beber e cantar
E viver de alegria

Padilha mulher encantada
Rainha da encruzilhada
Senhora da magia (2x)",Claudia,Maria Padilha das Almas,Samba Cabula
Esquerda,Maria Padilha das Almas - Cemitério é Praça linda,"Cemitério é praça linda
Mas ninguém quer passear (2x)

Em uma catacumba nova
Maria Padilha mora lá (2x)

Mora lá, mora lá
Mora lá, mora lá
Mora lá, mora lá
Maria Padilha mora lá (2x)",Claudia,Maria Padilha das Almas,Samba Cabula
Esquerda,Maria Padilha das Almas - Passar no cemitério,"Eu hoje vou passar no cemitério
Sempre foi maior mistério
Saber se ela mora lá (2x)

Cova meia meia corredor quarenta
Padilha levantou
Eu quero ver quem aguenta (2x)",Claudia,Maria Padilha das Almas,Samba Cabula
Esquerda,Maria Padilha da Praia - Na beira da praia,"Na beira da praia
Na beira da praia eu vi
Uma linda mulher gargalhar (2x)

É Maria Padilha da praia
Que veio trabalhar (2x)",Juan,Maria Padilha da Praia,Samba Cabula
Esquerda,Maria Padilha da Praia - Pomba gira da praia,"Uma noite linda
Dormindo na beira do mar
Entre meus sonhos de pena
Escutei uma mulher gargalhar (2x)

Abri meus olhos e vi
Uma mulher formosa dançando
Ela falou pra mim
Seu coração tá chorando (2x)

Ela chegou
Deslumbrando minha vida
Maria Padilha da praia
Levou toda minha pena

Eu agradeço mulher
A força que me entregaste
Mais eu prometo a você
Na vida sempre adorar-te (2x)",Juan,Maria Padilha da Praia,Samba Cabula
Esquerda,Rosa Caveira - Buque de rosas,"Não é me desfazendo das mulheres
Rosa Caveira é a minha preferida (2x)

Mulher faceira, mulher formosa
Rosa Caveira é o meu buque de rosas (2x)",Luiz,Rosa Caveira,Samba Cabula
Esquerda,Rosa Caveira - Sacode o pó,"Sacode o pó que chegou
Rosa Caveira!
Pomba Gira da calunga
Vem levantando poeira (2x)

Suas mandingas
São cercadas de mistérios
Saravá a Pomba Gira
Que vem lá do cemitério (2x)

Se diz que faz é melhor não duvidar
Porque a Rosa Caveira
Promete para não faltar

Sacode o pó que chegou
Rosa Caveira
Pomba Gira Da calunga
Vem levantando poeira (2x)",Luiz,Rosa Caveira,Samba Cabula
Esquerda,Rosa Caveira - Caixão lacrado,"No cemitério tinha um caixão lacrado
Sete velas ao seu lado
E nele estava escrito assim (2x)

Morada de rosa caveira
Ela é quem conhece
Começo, o meio e o fim (2x)

E de repente o cadeado estourou
A tampa levantou
E a gargalhada ecoou (2x)

Mas que gargalhada é essa?
É Rosa caveira fazendo a festa! (2x)",Luiz,Rosa Caveira,Samba Cabula
Esquerda,Rosa Caveira - Levo uma rosa,"Levo uma rosa
Quando vou ao seu axé
Falo com Rosa Caveira
Porque nela eu tenho fé

Tudo o que peço
Nunca me deixou faltar
Ela é muito famosa
Ela é Mojubá",Luiz,Rosa Caveira,Samba Cabula
Esquerda,Pomba Gira Menina - Aquele Olhar,"Estou sentindo falta de um sorriso
Que falta está fazendo aquele olhar (2x)

São belezas de uma pomba gira
Encantadora
Que tem nome de menina (2x)

Ó pomba gira
Você é a mais bela flor (2x)

Trazendo pra sua encruzilhada
A magia que liberta o amor (2x)",Eric Oliveira,Pomba Gira Menina,Samba Cabula
Esquerda,Pomba Gira Menina - Chorei Chorei,"Chorei, chorei
O homem que eu amava eu matei (2x)

Matei com 7 facadas
Em cima do coração
Sou Pomba Gira Menina
E não aceito traição (2x)",Eric Oliveira,Pomba Gira Menina,Samba Cabula
Esquerda,Maria das 7 Encruzilhadas - Podem lhe prender,"Podem lhe prender
Podem lhe prender
Podem lhe acorrentar

Mas ela é dona sete
Nada vai lhe segurar (2x)

Quando foi de vida
Ela sempre fez o bem
Enterrou seus inimigos
Mas nunca matou ninguém (2x)",Lu,Maria das 7 Encruzilhadas,Samba Cabula
Esquerda,Maria das 7 Encruzilhadas - Dói dói dói,"Dói, dói, dói, dói, dói
Um amor faz sofrer
Dois amor amor faz chorar
Dói, dói, dói (2x)

No tempo em que ela tinha dinheiro
Os homens queriam lhe amar
Mas hoje o dinheiro acabou
A velhice chegou e ela se põe a chorar

Dói, dói, dói, dói, dói
Um amor faz sofrer
Dois amor amor faz chorar
Dói, dói, dói (2x)

Te dei amor, te dei carinho
Te dei uma rosa, e tirei os espinhos (2x)

Dói, dói, dói, dói, dói
Um amor faz sofrer
Dois amor amor faz chorar
Dói, dói, dói (2x)",Lu,Maria das 7 Encruzilhadas,Samba Cabula
Esquerda,É uma casa de pombo,"É uma casa de pombo
É de pombo-gira (2x)

Auê auê auê auê
Auê auá
Eu quero ver Pombo gira (2x)",,,Samba Cabula
Esquerda,Pomba Gira Cigana de fé,"Vinha caminhando a pé
Para ver se encontrava
Pomba gira cigana de fé (2x)

Ela parou e leu minha mão
Me disse toda a verdade

Eu só queria saber
Por onde andava
Pomba Gira Cigana de fé (2x)",,,Samba Cabula
Esquerda,Bafafá na encruzilhada,"Houve um bafafá na encruzilhada
O que ouve
O que há
Não sei nem quero saber

Só sei que a pomba gira tava lá

Eu quero ver pombo gire
Eu quero ver pombo girá
Eu quero ver pombo girá
Trabalhando sem parar",,,Samba Cabula
Esquerda,Maria Maria,"Mulher, mulher
Ela é Tata Mirongue
Ela é Tata na calunga
Ela é Pombo gire

É a mulher que cai pra lá
Ela é Maria, Maria (2x)

É a mulher que cai pra cá
Ela Tata na calunga
Ela é Maria, Maria
Ela é Pombo gira
Ela é Maria, Maria (2x)",,,Samba Cabula
Esquerda,Tata na calunga,"Quando passar
Na porta do cemitério, moço
Não se esqueça de olhar pra trás (2x)

Você vai ver
Uma moça vestida de preto, oh moço

Ela é Maria, Maria (2x)",,,Samba Cabula
Esquerda,Xô Urubu,"Xô urubu, urubu quer me comer (2x)

Subiu na cominheira
Não me viu e nem me ve

Vou chamar a feiticeira
Para vim me proteger

Xô xô xô xô",,,Samba Cabula
Esquerda,Na casa da Farrapo,"Na casa da Farrapo
Tem uma caveira
Para mostrar
Que ela não é de brincadeira (2x)

E também tem uma tesoura
Que o diabo deixou
Pra cortar a língua
Desse povo falador",,,Samba Cabula
Esquerda,Maria Farrapo girou,"Maria Farrapo girou
Maria Farrapo girou
Girou e mandou avisar (2x)

Que hoje tem festa na rua
No clarão da lua, pra quem chegar (2x)

Ela é a Pombagira
Rainha do Cabaré (2x)",,,Samba Cabula
Esquerda,Sete saias,"Pombo gira sete saias
É mulher de sete maridos (2x)

Carrega sete navalhas
Na barra de seu vestido (2x)

Sete Saias chegou (2x)",,,Samba Cabula
Esquerda,O Dama da noite,"O Dama da noite
O minha donzela

Cadê Dama da Noite
Eu quero falar com ela (2x)

Olha ela ai, Olha ela ai
Ô Dama da Noite
A mulher de Tiriri (2x)",,,Samba Cabula
Esquerda,Arreda homem,"Arreda homem
Que ai vem mulher (2x)

Ela é a Pombagira
Rainha do Cabaré (2x)",,,Samba Cabula
Esquerda,Exu Mirim - É mirim,"É Mirim é Mirim é Mirim
É Mirim pirimpimpim (2x)

Pisa no galho
Pisa no toco
Tira encrenca
Tira sufoco (2x)

Passa no quintal dos outros
Mas não mexa com o vizinho",,,Samba Cabula
Esquerda,Mirim Caveirinha - Kiuô Odará,"Kiuô Odará
Venha Trabalhar

Exú Caveirinha
Venha trabalhar
Levanta dessa tumba
Faz pedra rolar

Na mão esquerda a foice
Na cinta o Punhal
Não sai da linha mano
Pra não se dar mal","Pai Marcos, Eric Oliveira, Luiz",Mirim Caveirinha,Samba Cabula
Esquerda,Orixá Exu - Exu Ajuô Mamam,"Laroyê, Exu Ajuô Mamam
Kiuô Odará
Exu Aô (5x)

Odara Lo Xoro
Odará Lo Xoro, Lonan
Odará Lo Xoro
Elo xorô Odará Lo Xoro Lonan (3x)

Ojixê Pa Lefun Aô
Odara Pa Lessobá (3x)",,,Samba Cabula
Esquerda,Subida - Vai se embora Exú,"Vai se embora Exú
Não tropeça no caminho",,,Samba Cabula
Esquerda,Descarrego de Caboclos - Esquerda,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,Samba Cabula
Esquerda,Descarrego dos Orixás - Esquerda,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,Samba Cabula
Esquerda,Madalena vem em socorro - Esquerda,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limoa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,Samba Cabula
