Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toques
Marinheiros,Não vai beber,"Não vai beber
Marinheiro só
Não vai se embriagar
Marinheiro só
Não vai cair na rua
Marinheiro só
Pra polícia não pegar
Marinheiro só

Mas eu já bebi
Eu já me embriaguei
Eu já cai a rua
E a polícia nada fez",,,Samba Cabula
Marinheiros,Beira da praia,"Tava na beirada praia
Vendo o que a maré fazia (2x)

Oh quando eu ia ela voltava
Quando eu voltava ela ia (2x)",,,Samba Cabula
Marinheiros,Minha Jangada,"Minha jangada vai sair pro mar (2x)
Vou trabalhar, meu bem querer
Se Deus quiser
Quando eu voltar do mar
Um peixe bom eu vou trazer
(Hei de trazer)

Meus companheiros também vão voltar
E a Deus do céu vamos agradecer",,,Samba Cabula
Marinheiros,É de pouquinho,"Tem um marinheiro
Ele é daqui
Ele vem bebendo
De pouquinho, pouquinho (2x)

É de pouquinho, pouquinho
É de pouquinho, pouquinho",,,Samba Cabula
Marinheiros,Marinheiro é hora,"Parangola (2x)

Marinheiro é hora
É hora de vir trabalhar (2x)

Marujo nas ondas do mar (2x)",,,Samba Cabula
Marinheiros,Foi pelo canto da sereia,"Foi pelo canto da sereia
Que o marinheiro
Se encantou com o mar
Conheceu Nossa Senhora.
Hoje ele é filho de Mãe Iemanjá. (2x)

Vem nesse terreiro
Os marinheiros vêm nos ajudar (2x)

Vêm trazendo a força
E a magia que só tem no mar (2x)",,,Samba Cabula
Marinheiros,Eu Sonho,"Seu marinheiro eu não sei por que
Mas toda madrugada
Eu sonho com você (2x)

Marinheiro é bom
É bom nessa corrente
Só os marinheiros
Para saudar toda essa gente (2x)",,,Samba Cabula
Marinheiros,Quebra mar,"Maré tá cheia barco na água
Vento forte e a onda brava
E a maré alta não dá pé

Oh quebra mar
Quebra maré (4x)",,,Samba Cabula
Marinheiros,Morada é no mar,"Seu marinheiro
Sua morada é no mar (2x)

Eu vou, eu vou remando
Remando para o mar (2x)

Seu marinheiro
Que balanço é esse? (2x)

É seu barquinho que vai para o mar
Levando flores belas
Pra mãe Iemanjá (2x)",,,Samba Cabula
Marinheiros,Subida - Adeus camarada,"Adeus, camarada adeus
Adeus que eu já vou embora

Foi no balanço do mar que eu vim
É no balanço do mar
Que eu vou embora

Quem parte leva saudades
Quem fica soluça e chora",,,Samba Cabula
Marinheiros,Descarrega descarrega,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,Samba Cabula
Marinheiros,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,Samba Cabula
Marinheiros,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,Samba Cabula
